161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
161472,"right femur apple",1,0
161473,"right femur apple",1,0
161474,"left monkey pear",0,1
161475,"left monkey pear",0,1
161476,"left monkey pear",0,1
